agency_ori,geo_name,countCarThefts2019,countCarThefts2020,countCarThefts2021,countCarThefts2022,latitude,longitude,percentChange2019to2022
OR0260100,Gresham PD MIP,1047,911,1014,1044,45.5075778,-122.4360593,-0.0028653295128939827
OR0340200,Forest Grove PD,44,37,67,44,45.5194,-123.10995,0
MN0480000,Mille Lacs County SO,35,37,49,35,45.97329307,-93.6504957,0
SC01001,Charleston PD,496,453,471,502,32.79706343,-79.95871973,0.012096774193548387
MO0490700,Joplin PD,357,390,364,360,37.0740529,-94.4590697,0.008403361344537815
CA00710,Richmond PD,945,1084,1104,1041,37.9181517,-122.349847,0.10158730158730159
,Newark PD,148,147,192,150,40.05857038,-82.39486054,0.013513513513513514
,Sandy PD,192,357,212,193,40.59055527,-111.6373419,0.005208333333333333
OR0240000,Marion SO,398,295,140,400,44.9402892,-123.0333902,0.005025125628140704
OK07205,Tulsa PD,3033,3904,4266,3108,36.1633711,-95.9875306,0.024727992087042534
MA00718,Springfield PD,494,496,508,505,42.10882764,-72.57850629,0.022267206477732792
AZ0111300,Apache Junction PD,104,89,105,107,33.4228445,-111.5443213,0.028846153846153848
TN03301,Chattanooga PD,1315,2101,1615,1354,35.04734347,-85.29348125,0.029657794676806085
VA10300,Chesapeake PD,389,328,387,402,36.7182347,-76.2491607,0.033419023136246784
PAPSP4700,PA State Police - Lancaster Station,33,36,28,34,40.0765713,-76.2984014,0.030303030303030304
MN0270800,Golden Valley PD,36,55,82,37,44.9863098,-93.3782781,0.027777777777777776
TX22012,Fort Worth PD,3486,3621,3739,3632,32.7397787,-97.4101515,0.04188181296615032
,Highland County SO,27,37,35,28,39.18896262,-83.60521387,0.037037037037037035
IN02901,Carmel PD,67,58,59,70,39.9663739,-86.1277873,0.04477611940298507
PA0110400,Johnstown City PD,26,31,31,27,40.44418341,-78.83999758,0.038461538461538464
MA00926,Lowell PD,171,224,186,177,42.6471179,-71.3137541,0.03508771929824561
MN0620500,Mounds View PD,26,23,48,27,44.9341933,-93.658499,0.038461538461538464
CO0070400,Longmont Dept. of Public Safety,342,455,426,358,40.1695987,-104.9756786,0.04678362573099415
NC06502,Wilmington PD,259,199,230,271,34.19211731,-77.94783211,0.04633204633204633
PA0230800,Darby Borough PD,38,54,31,40,39.9136048,-75.25265017,0.05263157894736842
RI0040500,Johnston PD,44,48,43,46,41.83064,-71.5002915,0.045454545454545456
ID00101,Boise PD,245,279,262,258,43.6078392,-116.3017464,0.053061224489795916
CA04313,San Jose PD,6126,7065,6419,6469,37.3001551,-121.7627447,0.055990858635324846
IN00201,Fort Wayne PD,568,510,596,602,41.1178189,-85.1108578,0.05985915492957746
MI81218,Ann Arbor PD,138,81,82,146,42.28191841,-83.74568742,0.057971014492753624
FL05214,St. Petersburg PD,783,639,705,840,27.7727091,-82.65019612,0.07279693486590039
TX12301,Beaumont PD,338,362,381,360,30.07942497,-94.09224902,0.0650887573964497
CA03710,Oceanside PD,452,419,485,482,33.225881,-117.3286833,0.06637168141592921
CA00701,Antioch PD,610,573,552,652,38.0161648,-121.8204925,0.06885245901639345
NV0130000,Carson City SO,56,78,86,60,39.15828537,-119.7634735,0.07142857142857142
,Provo PD,129,152,118,138,40.2330686,-111.6648897,0.06976744186046512
,Coshocton County SO,28,30,22,30,40.2757996,-81.8658242,0.07142857142857142
PA0350400,Scranton City PD,82,107,147,88,41.4059409,-75.6667301,0.07317073170731707
ID01402,Nampa PD,138,193,160,147,43.57839272,-116.5617318,0.06521739130434782
LA02600,Jefferson SO,571,486,519,614,29.9660381,-90.15673982,0.07530647985989491
TX05711,Garland PD,971,1081,926,1051,32.9103528,-96.6548367,0.082389289392379
PA0360500,Lancaster City PD,80,84,74,86,40.0765713,-76.2984014,0.075
PA0070100,Altoona City PD,52,59,66,56,40.4940913,-78.3994532,0.07692307692307693
PAPPD0000,Pittsburgh City PD,635,517,636,688,40.5198366,-80.032889,0.08346456692913386
NB02802,Omaha PD,3711,3568,3487,3995,41.2909437,-96.1569928,0.07652923740231743
NC02601,Fayetteville PD,384,465,460,420,35.0504942,-78.877001,0.09375
,Fairborn PD,44,38,40,48,39.8268739,-84.0230023,0.09090909090909091
PA0230400,Chester City PD,168,132,167,183,39.8516118,-75.3593797,0.08928571428571429
TX04305,McKinney PD,165,213,202,181,33.2239746,-96.6408037,0.09696969696969697
NV0100000,Lyon County SO,71,73,81,78,39.02744475,-119.2231368,0.09859154929577464
MO0480600,Independence PD,834,1007,1090,917,39.0932123,-94.4126951,0.09952038369304557
,Wooster PD,29,20,49,32,40.79928506,-81.94254246,0.10344827586206896
WI01301,Madison PD,546,648,709,601,43.0717908,-89.3835305,0.10073260073260074
GAAPD00,Atlanta PD,2977,3219,3076,3312,33.7506518,-84.3911455,0.11252939200537454
CT00151,Waterbury PD,531,550,645,588,41.54979584,-73.07299409,0.10734463276836158
MN0820200,Forest Lake PD,28,43,41,31,45.26632675,-92.98541502,0.10714285714285714
AR02301,Conway PD,100,122,140,112,35.0787199,-92.4606469,0.12
IN08201,Evansville PD,403,438,456,450,37.97375982,-87.56752854,0.11662531017369727
CA03404,Sacramento PD,2717,2511,3164,3049,38.55750224,-121.4196925,0.1221935958778064
PA0021300,McKeesport City PD,42,27,52,47,40.3422019,-79.8708786,0.11904761904761904
OR0090200,Redmond PD,76,100,106,85,44.2737569,-121.1757677,0.11842105263157894
OR0240500,Woodburn PD,146,264,171,163,45.15086674,-122.8432055,0.11643835616438356
CO0010000,Adams County SO,917,1137,"1,345","1,035",39.86176746,-104.9370822,NaN
NC06001,Charlotte-Mecklenburg PD,3334,2984,3150,3778,35.2227138,-80.8372997,0.1331733653269346
TN01901,Metro Nashville PD,3056,3450,3369,3460,36.16324433,-86.7822909,0.13219895287958114
MO0480300,Grain Valley PD,38,44,45,43,39.0187296,-94.1976264,0.13157894736842105
,Miamisburg PD,32,35,39,36,39.6273961,-84.2191919,0.125
,Clark County SO,31,28,45,35,39.9242254,-83.77504156,0.12903225806451613
NV0160000,Washoe County SO,86,80,109,97,40.81353092,-119.6658473,0.12790697674418605
OR0170100,Grants Pass PD,128,134,191,144,42.44300782,-123.3257211,0.125
CO0390000,Mesa County SO,130,194,205,148,39.06894425,-108.5722447,0.13846153846153847
NC03201,Durham PD,758,965,764,863,35.99665788,-78.90932965,0.13852242744063326
,Xenia PD,42,30,16,48,39.6859535,-83.927611,0.14285714285714285
,Wayne County SO,51,57,78,58,41.3025416,-83.4773307,0.13725490196078433
MN0550100,Rochester PD,131,126,173,149,44.0196395,-92.46078955,0.13740458015267176
KY05680,Louisville Metro PD,4013,4647,4336,4613,38.2713443,-85.6143994,0.149514079242462
MO0240400,Gladstone PD,123,146,105,142,39.2214682,-94.571889,0.15447154471544716
PAPSP8800,PA State Police - Uniontown Station,40,44,58,46,39.89901436,-79.72567456,0.15
NJNPD00,Newark PD,1541,1707,1792,1778,40.7402522,-74.1786469,0.1537962362102531
,Logan PD,40,39,68,46,41.7367703,-111.837069,0.15
TX10115,Pasadena PD,546,619,675,635,29.6780785,-95.1916685,0.163003663003663
,Woods Cross PD,31,55,31,36,40.87436139,-111.9016707,0.16129032258064516
,Barberton PD,32,51,43,37,41.0134928,-81.6109853,0.15625
MA01301,Boston PD,982,1280,1164,1144,42.3342883,-71.0903975,0.164969450101833
MN0272400,University of MN PD - Minneapolis,43,23,40,50,44.9773167,-93.26588838,0.16279069767441862
TX15512,Waco PD,324,416,421,378,31.6236683,-97.1029971,0.16666666666666666
TX05718,Mesquite PD,876,854,813,1023,32.77393414,-96.59994635,0.1678082191780822
MO0420000,Henry County SO,42,39,62,49,38.38288656,-93.78225137,0.16666666666666666
CO0150000,Delta County SO,24,21,17,28,38.7405777,-108.0730953,0.16666666666666666
,West Chester Township PD,52,55,72,61,39.3325588,-84.4478751,0.17307692307692307
WI00502,Green Bay PD,124,115,139,145,44.51110335,-88.01598482,0.1693548387096774
WA03100,Snohomish PD,862,865,749,1011,47.9139234,-122.0892548,0.1728538283062645
OR0200600,Springfield PD,171,177,182,202,44.0473248,-123.0214379,0.18128654970760233
CA03702,Chula Vista PD,827,760,936,980,32.6399533,-117.0828943,0.18500604594921402
,Greene County SO,26,48,29,31,39.68615632,-83.92601243,0.19230769230769232
PA0232800,Ridley Township PD,27,33,30,32,39.87252385,-75.3269127,0.18518518518518517
PAPSP0400,PA State Police - Bedford Station,21,28,15,25,40.0175359,-78.5068401,0.19047619047619047
,Brigham City PD,21,33,27,25,41.5090937,-112.0351901,0.19047619047619047
MN0730600,Waite Park PD,26,26,25,31,45.5543293,-94.233829,0.19230769230769232
OHCLP00,Cleveland PD,2790,2941,3000,3340,41.5461791,-81.6148602,0.1971326164874552
,Lorain PD,91,95,96,109,41.4684988,-82.1791283,0.1978021978021978
PA0250200,Erie City PD,96,167,168,115,42.129027,-80.087938,0.19791666666666666
OR0200200,Eugene PD MIP,623,740,803,749,44.00865072,-123.0303215,0.20224719101123595
TX04304,Frisco PD,104,104,122,126,33.1341712,-96.8228559,0.21153846153846154
WA03103,Everett PD,812,703,695,985,47.9775864,-122.2076171,0.21305418719211822
TX21204,Tyler PD,171,210,221,208,32.3323891,-95.3091534,0.21637426900584794
TX04306,Plano PD,429,440,477,525,33.0495204,-96.6758431,0.22377622377622378
RI0040600,Lincoln PD,23,26,17,28,41.9303861,-71.4428738,0.21739130434782608
TXDPD00,Dallas PD,10889,10401,11822,13377,32.9221234,-96.7308119,0.22848746441362844
KS04605,Olathe PD,192,235,239,236,38.8826395,-94.8200986,0.22916666666666666
PA0090300,Bristol Township PD,92,91,86,113,40.1240969,-74.8676014,0.22826086956521738
MN0621000,White Bear Lake PD,56,69,60,69,45.08401616,-93.01216726,0.23214285714285715
CA03711,San Diego PD,5175,5080,6245,6403,32.77407503,-117.1599812,0.23729468599033818
PA0380200,Lebanon City PD,21,23,17,26,40.2754348,-76.4132985,0.23809523809523808
PA0401300,Wilkes-Barre City PD,42,92,57,52,41.24497902,-75.87719231,0.23809523809523808
MN0180100,Brainerd PD,21,40,37,26,46.35632894,-94.20586486,0.23809523809523808
,Riverside PD,53,73,80,66,39.79386717,-84.1261106,0.24528301886792453
CO0390100,Grand Junction PD,159,303,296,200,39.0650041,-108.5622338,0.2578616352201258
OK07201,Broken Arrow PD,177,255,265,223,36.0244204,-95.7890832,0.2598870056497175
MT05601,Billings PD,634,817,1036,798,45.803752,-108.5372187,0.2586750788643533
,Layton PD,83,116,119,105,41.0662209,-111.9612297,0.26506024096385544
MI50806,Warren PD,359,421,431,457,42.5131736,-83.0242313,0.27298050139275765
MI25398,Flint PD,300,282,310,381,43.0108607,-83.6871918,0.27
MN0270300,Brooklyn Park PD,301,339,355,383,45.1098845,-93.3497282,0.2724252491694352
TX24305,Wichita Falls PD,232,278,395,297,33.9042054,-98.4969754,0.2801724137931034
,Pleasant Grove PD,25,26,49,32,40.3628376,-111.7393662,0.28
CO0070100,Boulder PD,262,388,418,338,40.0067893,-105.2610847,0.2900763358778626
PA0670400,Springettsbury Township PD,24,20,13,31,39.99193767,-76.66730001,0.2916666666666667
,South Jordan PD,82,121,125,106,40.5584896,-111.936598,0.2926829268292683
,Springfield Township PD,20,52,40,26,39.9869486,-83.8764965,0.3
RI0040800,Pawtucket PD,182,220,215,237,41.8788507,-71.3821744,0.3021978021978022
RI0041200,Woonsocket PD,94,101,92,122,42.0059881,-71.50986206,0.2978723404255319
OR0060600,North Bend PD,23,18,21,30,43.4075296,-124.2257484,0.30434782608695654
TXHPD00,Houston PD,13127,14781,15657,17175,29.72974523,-95.27259955,0.3083720575912242
TX01404,Killeen PD,318,436,398,418,31.0953918,-97.6992337,0.31446540880503143
NC07403,Greenville PD,94,95,71,124,35.6053346,-77.3681031,0.3191489361702128
TN07501,Murfreesboro PD,267,297,294,352,35.8361583,-86.4122081,0.31835205992509363
KY03402,Lexington PD,906,1037,999,1199,38.0455545,-84.4966215,0.32339955849889623
,Beavercreek PD,34,61,34,45,39.7309872,-84.0682306,0.3235294117647059
MN0020400,Columbia Heights PD,50,74,71,66,45.03969313,-93.25786516,0.32
NC01301,Concord PD,100,124,145,133,35.3691819,-80.722105,0.33
PAPSP9100,PA State Police - Washington Station,24,19,27,32,40.1680849,-80.2464984,0.3333333333333333
,West Jordan PD,200,317,275,267,40.60514269,-111.9393727,0.335
OH04807,Toledo PD,798,1008,1144,1066,41.72129052,-83.5263855,0.3358395989974937
TX05704,Carrollton PD,157,215,246,210,32.9765368,-96.8866819,0.3375796178343949
NC09201,Raleigh PD,894,1362,1076,1201,35.7784522,-78.62297769,0.3434004474272931
MN0620900,St Paul PD,2419,2818,2711,3247,44.95643028,-93.08511835,0.3422902025630426
OR0330100,The Dalles PD,53,49,79,71,45.6011816,-121.1841892,0.33962264150943394
PA0670900,West Manchester Township PD,20,15,16,27,39.8516118,-75.3593797,0.35
MN0620700,North St Paul PD,37,39,41,50,45.01418401,-92.99012441,0.35135135135135137
OR0300300,Pendleton PD,46,46,55,62,45.6736635,-118.8432148,0.34782608695652173
CO0010200,Brighton PD,199,285,248,270,39.9733051,-104.782374,0.35678391959798994
TX16501,Midland PD,211,466,257,287,31.9960562,-102.081186,0.36018957345971564
TX05715,Irving PD,711,969,951,968,32.8705014,-96.967816,0.36146272855133615
MN0550000,Olmsted County SO,22,23,29,30,43.99755932,-92.392502,0.36363636363636365
OR0090100,Bend PD MIP,111,168,149,151,44.0559832,-121.2846605,0.36036036036036034
AZ0071100,Gilbert PD,154,151,179,211,33.32940782,-111.7882038,0.37012987012987014
PA0462200,Pottstown Borough PD,41,48,92,56,40.2456961,-75.6522116,0.36585365853658536
OR0240200,Salem PD MIP,837,1131,1068,1144,44.9360439,-123.0416036,0.36678614097968937
OR0260000,Multnomah SO,286,306,388,391,45.51160088,-122.3250038,0.36713286713286714
VA12800,Virginia Beach PD,582,624,773,803,36.7536586,-76.0582765,0.3797250859106529
PA0090500,Falls Township PD,42,56,46,58,41.46282315,-75.84445851,0.38095238095238093
MN0500100,Austin PD,29,23,41,40,43.667795,-92.9739517,0.3793103448275862
MN0820800,Oakdale PD,66,68,88,91,44.9709664,-92.9653238,0.3787878787878788
WA03204,Spokane PD,1292,1103,1187,1788,47.66554755,-117.428914,0.38390092879256965
IA08202,Davenport PD,346,469,457,481,41.5238493,-90.5791999,0.3901734104046243
RI0040700,North Providence PD,44,41,76,61,41.84002609,-71.46640907,0.38636363636363635
PA0220800,Susquehanna Township PD,18,22,16,25,41.9604208,-75.5849947,0.3888888888888889
MN0340100,Willmar PD,31,43,52,43,45.1457957,-95.0142517,0.3870967741935484
IL05802,Decatur PD,173,196,242,242,39.8391409,-88.9533116,0.3988439306358382
TX05720,Richardson PD,245,303,257,342,32.99093227,-96.7468556,0.39591836734693875
,Draper PD,57,90,127,80,40.524737,-111.8628661,0.40350877192982454
,Mansfield PD,84,75,106,118,40.7591241,-82.5129428,0.40476190476190477
,Alliance PD,25,45,26,35,40.9212348,-81.0985826,0.4
OR0180100,Klamath Falls PD,82,101,176,115,42.2228156,-121.78213,0.4024390243902439
OR0270000,Polk SO,25,31,23,35,44.91785541,-123.3759691,0.4
CO0380100,Sterling PD,22,46,34,31,40.6220946,-103.1786796,0.4090909090909091
CA04300,Santa Clara PD,372,555,609,523,37.3537766,-121.938459,0.40591397849462363
CO0020100,Alamosa PD,27,45,33,38,37.469589,-105.86352,0.4074074074074074
WA01702,Bellevue PD,340,288,436,481,47.61446269,-122.1918352,0.4147058823529412
OR0100600,Sutherlin PD,19,28,19,27,43.39009344,-123.3121166,0.42105263157894735
OR0220300,Lebanon PD,26,22,41,37,44.545569,-122.910448,0.4230769230769231
MN0730400,St Cloud PD,175,238,237,249,45.56011465,-94.16580726,0.4228571428571429
OR0300200,Milton Freewater PD,24,24,13,34,45.9281105,-118.38572,0.4166666666666667
,Ashtabula County SO,46,60,30,66,41.8669431,-80.78011,0.43478260869565216
MI50849,Clinton Township PD,156,175,209,223,42.580716,-82.9047954,0.42948717948717946
OR0030400,Lake Oswego PD,47,51,67,67,45.41944,-122.6676751,0.425531914893617
OR0260200,Portland Police Bureau MIP,"6,403",6387,"8,998",9174,45.49869542,-122.688497,NaN
OHCIP00,Cincinnati PD,1352,1506,1475,1942,39.1868853,-84.4868368,0.4363905325443787
,Cleveland Heights PD,66,80,102,95,41.519429,-81.553915,0.4393939393939394
OR0360100,McMinnville PD,39,59,52,56,45.2119714,-123.1935439,0.4358974358974359
CA03706,Escondido PD,395,432,573,572,33.1177424,-117.0905017,0.4481012658227848
NV0020100,Las Vegas Metro PD,7311,7166,8880,10602,36.18257893,-115.1322616,0.45014361920393925
,Akron PD,741,1011,1179,1071,41.034345,-81.4403329,0.44534412955465585
,Niles PD,22,21,29,32,41.1787461,-80.7645696,0.45454545454545453
TX06106,Lewisville PD,243,246,312,355,33.04282783,-97.02236794,0.4609053497942387
CA03801,San Francisco PD,4449,6097,6077,6513,37.7259665,-122.4814548,0.46392447741065407
CO0510000,Pueblo County SO,160,156,210,234,38.2658726,-104.6093623,0.4625
PA0670200,York City PD,134,123,159,195,39.9910542,-76.6702415,0.4552238805970149
,Cleveland PD,3084,3288,3588,4514,41.5461791,-81.6148602,0.46368352788586253
MA00911,Cambridge PD,98,81,119,143,42.367225,-71.086275,0.45918367346938777
TX08408,League City PD,87,126,124,128,29.5023664,-95.0957039,0.47126436781609193
AZ0110100,Casa Grande PD,118,107,149,173,32.8785285,-111.7509009,0.4661016949152542
CA00100,Alameda PD,404,470,628,592,37.7670466,-122.2429695,0.46534653465346537
MN0190900,Inver Grove Heights PD,74,82,118,109,44.8308661,-93.061989,0.47297297297297297
OR0340300,Hillsboro PD MIP,214,248,265,314,45.5209425,-122.99344,0.4672897196261682
CO0300500,Wheat Ridge PD,187,377,449,276,39.7571935,-105.0805441,0.47593582887700536
LANPD00,New Orleans PD,2926,3467,3222,4338,29.9513572,-90.0761877,0.4825700615174299
,Cheviot PD,23,26,36,34,39.1570317,-84.6128391,0.4782608695652174
