"city","state","price","amount","quality","date","ppg","state.name","lat","lon"
"Winona","MN",325,28.3,"high",2010-09-02,11.48,"Minnesota",44.033867,-91.65106
"Albany","NY",320,28.3,"high",2010-09-03,11.31,"New York",42.614852,-73.970812
"Albany","NY",160,14.15,"medium",2010-09-03,11.31,"New York",42.614852,-73.970812
"Albany","NY",60,3.54,"high",2010-09-03,16.95,"New York",42.614852,-73.970812
"Albuquerque","NM",50,28.3,"low",2010-09-03,1.77,"New Mexico",35.044339,-106.672872
"Albuquerque","NM",60,3.54,"high",2010-09-03,16.95,"New Mexico",35.044339,-106.672872
"Aliso Viejo","CA",45,3.54,"high",2010-09-03,12.71,"California",33.6109175,-117.747091
"Allston","MA",350,28.3,"high",2010-09-03,12.37,"Massachusetts",42.355147,-71.13164
"Alpharetta","GA",100,7.075,"high",2010-09-03,14.13,"Georgia",34.044207,-84.27399
"Amarillo","TX",60,3.54,"high",2010-09-03,16.95,"Texas",35.401475,-101.895089
"Ames","IA",80,3.54,"high",2010-09-03,22.6,"Iowa",42.02933,-93.640818
"Anderson","SC",250,28.3,"high",2010-09-03,8.83,"South Carolina",34.4850635,-82.728235
"Asbury Park","NJ",65,3.54,"high",2010-09-03,18.36,"New Jersey",40.232713,-74.03143
"Athens","GA",100,7.075,"high",2010-09-03,14.13,"Georgia",33.9459915,-83.38908
"Athens","OH",60,28.3,"low",2010-09-03,2.12,"Ohio",39.322847,-82.09728
"Athens","OH",45,3.54,"high",2010-09-03,12.71,"Ohio",39.322847,-82.09728
"Atlanta","GA",60,3.54,"high",2010-09-03,16.95,"Georgia",33.844371,-84.47405
"Attleboro","MA",60,3.54,"medium",2010-09-03,16.95,"Massachusetts",41.928099,-71.31456
"Austin","TX",200,14.15,"high",2010-09-03,14.13,"Texas",30.326374,-97.771258
"Austin","TX",60,3.54,"high",2010-09-03,16.95,"Texas",30.326374,-97.771258
"Austin","TX",400,28.3,"high",2010-09-03,14.13,"Texas",30.326374,-97.771258
"Austin","TX",110,7.075,"high",2010-09-03,15.55,"Texas",30.326374,-97.771258
"Austin","TX",50,28.3,"low",2010-09-03,1.77,"Texas",30.326374,-97.771258
"Austin","TX",350,28.3,"high",2010-09-03,12.37,"Texas",30.326374,-97.771258
"Austin","TX",120,7.075,"high",2010-09-03,16.96,"Texas",30.326374,-97.771258
"Bainbridge Island","WA",200,28.3,"high",2010-09-03,7.07,"Washington",47.65526,-122.53508
"Ballwin","MO",60,3.54,"medium",2010-09-03,16.95,"Missouri",38.6198605,-90.479144
"Baltimore","MD",360,28.3,"high",2010-09-03,12.72,"Maryland",39.2847815,-76.620489
"Batavia","NY",50,3.54,"high",2010-09-03,14.12,"New York",42.9972795,-78.1888015
"Baton Rouge","LA",60,28.3,"low",2010-09-03,2.12,"Louisiana",30.495314,-91.080373
"Baton Rouge","LA",60,28.3,"high",2010-09-03,2.12,"Louisiana",30.495314,-91.080373
"Baton Rouge","LA",60,3.54,"high",2010-09-03,16.95,"Louisiana",30.495314,-91.080373
"Beaumont","CA",65,3.54,"high",2010-09-03,18.36,"California",33.945265,-116.9759
"Bedford","MA",60,3.54,"high",2010-09-03,16.95,"Massachusetts",42.496679,-71.27504
"Bellflower","CA",50,3.54,"medium",2010-09-03,14.12,"California",33.8373795,-118.213131
"Bellingham","WA",240,28.3,"high",2010-09-03,8.48,"Washington",48.759079,-122.435478
"Bend","OR",70,7.075,"high",2010-09-03,9.89,"Oregon",44.001834,-121.29769
"Berkeley","CA",125,14.15,"medium",2010-09-03,8.83,"California",37.866825,-122.2668
"Bethesda","MD",150,28.3,"low",2010-09-03,5.3,"Maryland",39.002375,-77.13519
"Bethlehem","PA",60,3.54,"high",2010-09-03,16.95,"Pennsylvania",40.650883,-75.37542
"Bloomfield Hills","MI",400,28.3,"high",2010-09-03,14.13,"Michigan",42.5864885,-83.28894
"Bloomington","IN",150,28.3,"medium",2010-09-03,5.3,"Indiana",39.173234,-86.5090375
"Bloomington","IN",55,3.54,"high",2010-09-03,15.54,"Indiana",39.173234,-86.5090375
"Bloomington","IN",60,3.54,"high",2010-09-03,16.95,"Indiana",39.173234,-86.5090375
"Boone","NC",60,3.54,"high",2010-09-03,16.95,"North Carolina",36.217052,-81.687983
"Boston","MA",280,28.3,"high",2010-09-03,9.89,"Massachusetts",42.338947,-71.026964
"Boulder","CO",240,28.3,"high",2010-09-03,8.48,"Colorado",40.087835,-105.373507
"Boulder","CO",80,7.075,"high",2010-09-03,11.31,"Colorado",40.087835,-105.373507
"Bozeman","MT",45,3.54,"high",2010-09-03,12.71,"Montana",45.636149,-110.9878
"Brooklyn","NY",100,7.075,"high",2010-09-03,14.13,"New York",40.645099,-73.945032
"Broomfield","CO",40,3.54,"medium",2010-09-03,11.3,"Colorado",39.94702,-105.077035
"Burlington","VT",40,3.54,"medium",2010-09-03,11.3,"Vermont",44.442117,-73.082525
"Cambridge","MA",60,3.54,"high",2010-09-03,16.95,"Massachusetts",42.379146,-71.12803
"Camden","ME",60,3.54,"high",2010-09-03,16.95,"Maine",44.214139,-69.097733
"Canton","GA",60,3.54,"high",2010-09-03,16.95,"Georgia",34.194029,-84.43884
"Carlsbad","CA",125,14.15,"medium",2010-09-03,8.83,"California",33.1,-117.26744
"Champaign","IL",50,7.075,"high",2010-09-03,7.07,"Illinois",40.1208925,-88.25826
"Charlotte","NC",50,3.54,"high",2010-09-03,14.12,"North Carolina",35.26002,-80.804151
"Chicago","IL",60,3.54,"medium",2010-09-03,16.95,"Illinois",41.8474,-87.68732
"Chicago","IL",40,3.54,"medium",2010-09-03,11.3,"Illinois",41.8474,-87.68732
"Chicago","IL",400,28.3,"high",2010-09-03,14.13,"Illinois",41.8474,-87.68732
"Cincinnati","OH",15,3.54,"low",2010-09-03,4.24,"Ohio",39.166759,-84.53778
"Cleveland","OH",50,3.54,"medium",2010-09-03,14.12,"Ohio",41.526151,-81.672797
"Clinton","NY",150,28.3,"low",2010-09-03,5.3,"New York",43.049536,-75.37656
"College Station","TX",75,3.54,"high",2010-09-03,21.19,"Texas",30.6333835,-96.334028
"College Station","TX",110,7.075,"high",2010-09-03,15.55,"Texas",30.6333835,-96.334028
"College Station","TX",60,3.54,"high",2010-09-03,16.95,"Texas",30.6333835,-96.334028
"College Station","TX",110,7.075,"medium",2010-09-03,15.55,"Texas",30.6333835,-96.334028
"Columbus","OH",50,3.54,"high",2010-09-03,14.12,"Ohio",39.969036,-83.011389
"Cumming","GA",350,28.3,"high",2010-09-03,12.37,"Georgia",34.201503,-84.09764
"Dallas","TX",60,14.15,"medium",2010-09-03,4.24,"Texas",32.767268,-96.777626
"Davis","CA",270,28.3,"medium",2010-09-03,9.54,"California",38.5844005,-121.849041
"Daytona Beach","FL",175,14.15,"high",2010-09-03,12.37,"Florida",29.022729,-81.172169
"Denton","TX",60,28.3,"low",2010-09-03,2.12,"Texas",33.225523,-97.116282
"Denton","TX",40,14.15,"medium",2010-09-03,2.83,"Texas",33.225523,-97.116282
"Des Moines","IA",60,3.54,"high",2010-09-03,16.95,"Iowa",41.672687,-93.572173
"Detroit","MI",25,7.075,"medium",2010-09-03,3.53,"Michigan",42.239933,-83.150823
"Detroit","MI",325,28.3,"high",2010-09-03,11.48,"Michigan",42.239933,-83.150823
"Detroit","MI",130,28.3,"medium",2010-09-03,4.59,"Michigan",42.239933,-83.150823
"Douglasville","GA",60,14.15,"low",2010-09-03,4.24,"Georgia",33.695607,-84.744595
"Eden Prairie","MN",60,3.54,"high",2010-09-03,16.95,"Minnesota",44.867013,-93.46031
"El Paso","TX",60,28.3,"low",2010-09-03,2.12,"Texas",31.694842,-106.299987
"Elk Grove","CA",350,28.3,"medium",2010-09-03,12.37,"California",38.3919215,-121.428365
"Ellensburg","WA",220,28.3,"high",2010-09-03,7.77,"Washington",47.009726,-120.52364
"Eugene","OR",200,28.3,"medium",2010-09-03,7.07,"Oregon",44.06092,-123.08275
"Eugene","OR",120,14.15,"high",2010-09-03,8.48,"Oregon",44.06092,-123.08275
"Evanston","IL",400,28.3,"high",2010-09-03,14.13,"Illinois",42.0493045,-87.6878
"Evanston","IL",60,3.54,"high",2010-09-03,16.95,"Illinois",42.0493045,-87.6878
"Falls Church","VA",75,3.54,"high",2010-09-03,21.19,"Virginia",38.864669,-77.18098
"Farmington","MI",365,28.3,"high",2010-09-03,12.9,"Michigan",42.5076545,-83.3863
"Fayetteville","GA",60,3.54,"high",2010-09-03,16.95,"Georgia",33.44011,-84.469695
"Fayetteville","GA",25,7.075,"low",2010-09-03,3.53,"Georgia",33.44011,-84.469695
"Flagstaff","AZ",330,28.3,"high",2010-09-03,11.66,"Arizona",35.630842,-112.052427
"Fort Lauderdale","FL",60,7.075,"high",2010-09-03,8.48,"Florida",26.145724,-80.260071
"Fort Payne","AL",40,7.075,"medium",2010-09-03,5.65,"Alabama",34.452575,-85.717302
"Fountain Valley","CA",45,3.54,"high",2010-09-03,12.71,"California",33.67446,-117.862866
"Frederick","MD",20,3.54,"low",2010-09-03,5.65,"Maryland",39.437639,-77.392139
"Gainesville","FL",45,3.54,"high",2010-09-03,12.71,"Florida",29.681312,-82.353862
"Gainesville","GA",35,7.075,"medium",2010-09-03,4.95,"Georgia",34.3064155,-83.854483
"Garnet Valley","PA",50,3.54,"high",2010-09-03,14.12,"Pennsylvania",39.84,-75.49
"Garnet Valley","PA",50,3.54,"medium",2010-09-03,14.12,"Pennsylvania",39.84,-75.49
"Glassboro","NJ",250,28.3,"low",2010-09-03,8.83,"New Jersey",39.700008,-75.11951
"Glendale","AZ",40,14.15,"low",2010-09-03,2.83,"Arizona",33.529373,-112.18717
"Granbury","TX",50,28.3,"medium",2010-09-03,1.77,"Texas",32.4325355,-97.75448
"Grand Rapids","MI",60,3.54,"high",2010-09-03,16.95,"Michigan",43.0111375,-85.5559335
"Great Falls","VA",80,3.54,"medium",2010-09-03,22.6,"Virginia",39.003809,-77.30165
"Green Bay","WI",20,3.54,"low",2010-09-03,5.65,"Wisconsin",44.4726535,-88.007382
"Greenville","NC",60,3.54,"high",2010-09-03,16.95,"North Carolina",35.580444,-77.37896
"Greenville","SC",80,14.15,"medium",2010-09-03,5.65,"South Carolina",34.849745,-82.419456
"Hamden","CT",60,3.54,"high",2010-09-03,16.95,"Connecticut",41.374286,-72.905605
"Hemet","CA",65,3.54,"high",2010-09-03,18.36,"California",33.7360815,-116.941745
"Hicksville","NY",120,7.075,"high",2010-09-03,16.96,"New York",40.754757,-73.601772
"Hingham","MA",60,3.54,"high",2010-09-03,16.95,"Massachusetts",42.098091,-70.7944985
"Houston","TX",55,3.54,"high",2010-09-03,15.54,"Texas",29.83399,-95.434241
"Houston","TX",60,3.54,"high",2010-09-03,16.95,"Texas",29.83399,-95.434241
"Houston","TX",375,28.3,"high",2010-09-03,13.25,"Texas",29.83399,-95.434241
"Huntington","NY",60,3.54,"high",2010-09-03,16.95,"New York",40.867498,-73.41146
"Huntington Beach","CA",150,14.15,"high",2010-09-03,10.6,"California",33.6698685,-117.985865
"Huntington Beach","CA",60,3.54,"high",2010-09-03,16.95,"California",33.6698685,-117.985865
"Huntington Station","NY",400,28.3,"high",2010-09-03,14.13,"New York",40.872012,-73.006304
"Indianapolis","IN",325,28.3,"high",2010-09-03,11.48,"Indiana",39.779492,-86.132837
"Iowa City","IA",65,3.54,"high",2010-09-03,18.36,"Iowa",41.6503915,-91.551005
"Kalamazoo","MI",50,3.54,"high",2010-09-03,14.12,"Michigan",42.285613,-85.55871
"Kansas City","KS",80,28.3,"low",2010-09-03,2.83,"Kansas",39.096551,-94.68872
"Kansas City","KS",120,7.075,"high",2010-09-03,16.96,"Kansas",39.096551,-94.68872
"Kansas City","KS",20,7.075,"low",2010-09-03,2.83,"Kansas",39.096551,-94.68872
"Kansas City","MO",20,3.54,"medium",2010-09-03,5.65,"Missouri",39.035038,-94.50755
"Katonah","NY",440,28.3,"high",2010-09-03,15.55,"New York",41.265478,-73.68512
"King Of Prussia","PA",60,3.54,"high",2010-09-03,16.95,"Pennsylvania",40.038047,-75.5616525
"Kokomo","IN",25,7.075,"medium",2010-09-03,3.53,"Indiana",40.469625,-86.120105
"Lake City","FL",50,3.54,"high",2010-09-03,14.12,"Florida",30.1590005,-82.645392
"Lake City","FL",25,7.075,"low",2010-09-03,3.53,"Florida",30.1590005,-82.645392
"Lake City","FL",35,7.075,"medium",2010-09-03,4.95,"Florida",30.1590005,-82.645392
"Lake Zurich","IL",375,28.3,"high",2010-09-03,13.25,"Illinois",42.199957,-88.05859
"Lake Zurich","IL",60,3.54,"high",2010-09-03,16.95,"Illinois",42.199957,-88.05859
"Lakewood","NJ",150,28.3,"medium",2010-09-03,5.3,"New Jersey",40.082782,-74.2094
"Lakewood","WA",250,28.3,"high",2010-09-03,8.83,"Washington",47.14312,-122.50922
"Lancaster","CA",100,7.075,"high",2010-09-03,14.13,"California",34.23927,-118.298662
"Lancaster","OH",25,3.54,"medium",2010-09-03,7.06,"Ohio",39.712887,-82.61216
"Lapeer","MI",100,28.3,"low",2010-09-03,3.53,"Michigan",43.048777,-83.33073
"Las Vegas","NV",65,3.54,"high",2010-09-03,18.36,"Nevada",36.058295,-115.11821
"Lebanon","OR",40,3.54,"high",2010-09-03,11.3,"Oregon",44.527304,-122.85512
"Lebanon","OR",200,28.3,"medium",2010-09-03,7.07,"Oregon",44.527304,-122.85512
"Lebanon","PA",25,3.54,"medium",2010-09-03,7.06,"Pennsylvania",40.3388925,-76.424225
"Lexington","KY",350,28.3,"high",2010-09-03,12.37,"Kentucky",38.028269,-84.471505
"Lincoln","NE",20,3.54,"low",2010-09-03,5.65,"Nebraska",40.8106485,-96.688799
"Lincoln","NE",120,7.075,"high",2010-09-03,16.96,"Nebraska",40.8106485,-96.688799
"Lincoln","NE",25,14.15,"low",2010-09-03,1.77,"Nebraska",40.8106485,-96.688799
"Lincoln","NE",30,7.075,"medium",2010-09-03,4.24,"Nebraska",40.8106485,-96.688799
"Lincoln","NE",60,3.54,"high",2010-09-03,16.95,"Nebraska",40.8106485,-96.688799
"Lockport","LA",100,28.3,"medium",2010-09-03,3.53,"Louisiana",29.620122,-90.49218
"Los Angeles","CA",300,28.3,"medium",2010-09-03,10.6,"California",34.001115,-118.298662
"Los Angeles","CA",55,3.54,"high",2010-09-03,15.54,"California",34.001115,-118.298662
"Lowell","MA",60,3.54,"high",2010-09-03,16.95,"Massachusetts",42.6379455,-71.31871
"Lubbock","TX",120,7.075,"high",2010-09-03,16.96,"Texas",33.583798,-101.851144
"Lubbock","TX",110,7.075,"high",2010-09-03,15.55,"Texas",33.583798,-101.851144
"Macomb","MI",100,28.3,"low",2010-09-03,3.53,"Michigan",42.6668675,-82.93187
"Madison","WI",320,28.3,"high",2010-09-03,11.31,"Wisconsin",43.06956,-89.423861
"Manhattan","KS",60,3.54,"high",2010-09-03,16.95,"Kansas",39.217574,-96.61393
"Marina Del Rey","CA",55,3.54,"high",2010-09-03,15.54,"California",33.8814835,-118.376621
"Marlborough","MA",400,28.3,"high",2010-09-03,14.13,"Massachusetts",42.350909,-71.54753
"Marysville","OH",20,3.54,"medium",2010-09-03,5.65,"Ohio",40.2814485,-83.3622775
"Marysville","OH",55,3.54,"high",2010-09-03,15.54,"Ohio",40.2814485,-83.3622775
"Marysville","OH",30,7.075,"medium",2010-09-03,4.24,"Ohio",40.2814485,-83.3622775
"Marysville","OH",110,28.3,"medium",2010-09-03,3.89,"Ohio",40.2814485,-83.3622775
"Memphis","TN",70,3.54,"high",2010-09-03,19.77,"Tennessee",35.201738,-89.971538
"Miami","FL",50,3.54,"high",2010-09-03,14.12,"Florida",25.7219505,-80.35959
"Milford","OH",60,14.15,"medium",2010-09-03,4.24,"Ohio",39.168818,-84.24995
"Milford","OH",55,3.54,"high",2010-09-03,15.54,"Ohio",39.168818,-84.24995
"Milford","OH",20,3.54,"medium",2010-09-03,5.65,"Ohio",39.168818,-84.24995
"Minneapolis","MN",60,3.54,"high",2010-09-03,16.95,"Minnesota",45.0050635,-93.33726
"Minneapolis","MN",385,28.3,"high",2010-09-03,13.6,"Minnesota",45.0050635,-93.33726
"Mission Viejo","CA",350,28.3,"high",2010-09-03,12.37,"California",33.615462,-117.66681
"Mission Viejo","CA",350,28.3,"low",2010-09-03,12.37,"California",33.615462,-117.66681
"Missoula","MT",80,7.075,"high",2010-09-03,11.31,"Montana",46.9035815,-114.031057
"Missouri City","TX",50,28.3,"low",2010-09-03,1.77,"Texas",29.582744,-95.53267
"Monterey","CA",50,3.54,"high",2010-09-03,14.12,"California",36.4702615,-121.509799
"Monterey","CA",135,14.15,"high",2010-09-03,9.54,"California",36.4702615,-121.509799
"Muncie","IN",60,3.54,"high",2010-09-03,16.95,"Indiana",40.202293,-85.396685
"Nashville","TN",60,3.54,"high",2010-09-03,16.95,"Tennessee",36.186605,-86.785248
"Natick","MA",60,3.54,"high",2010-09-03,16.95,"Massachusetts",42.28229,-71.3659185
"New Port Richey","FL",100,7.075,"high",2010-09-03,14.13,"Florida",28.248558,-82.66973
"New Port Richey","FL",40,7.075,"medium",2010-09-03,5.65,"Florida",28.248558,-82.66973
"New York","NY",95,3.54,"high",2010-09-03,26.84,"New York",40.780751,-73.977182
"New York","NY",120,7.075,"high",2010-09-03,16.96,"New York",40.780751,-73.977182
"New York","NY",110,7.075,"high",2010-09-03,15.55,"New York",40.780751,-73.977182
"Newark","DE",120,28.3,"medium",2010-09-03,4.24,"Delaware",39.564499,-75.597047
"Newark","DE",60,14.15,"medium",2010-09-03,4.24,"Delaware",39.564499,-75.597047
"Newark","DE",55,3.54,"high",2010-09-03,15.54,"Delaware",39.564499,-75.597047
"Newark","NJ",60,3.54,"medium",2010-09-03,16.95,"New Jersey",40.79185,-74.245241
"Newington","CT",110,28.3,"medium",2010-09-03,3.89,"Connecticut",41.7403375,-72.724921
"Norfolk","VA",60,3.54,"high",2010-09-03,16.95,"Virginia",36.916497,-76.23972
"Norfolk","VA",20,3.54,"low",2010-09-03,5.65,"Virginia",36.916497,-76.23972
"Norman","OK",50,3.54,"high",2010-09-03,14.12,"Oklahoma",35.2191915,-97.434225
"Oakland","CA",200,14.15,"high",2010-09-03,14.13,"California",37.7699315,-122.189845
"Oakland","CA",55,3.54,"high",2010-09-03,15.54,"California",37.7699315,-122.189845
"Oakland","CA",180,14.15,"high",2010-09-03,12.72,"California",37.7699315,-122.189845
"Oakland","CA",50,3.54,"high",2010-09-03,14.12,"California",37.7699315,-122.189845
"Oakland","CA",30,3.54,"medium",2010-09-03,8.47,"California",37.7699315,-122.189845
"Omaha","NE",60,3.54,"high",2010-09-03,16.95,"Nebraska",41.291736,-96.118065
"Omaha","NE",25,3.54,"medium",2010-09-03,7.06,"Nebraska",41.291736,-96.118065
"Orlando","FL",45,3.54,"high",2010-09-03,12.71,"Florida",28.5538035,-81.260818
"Ossining","NY",30,3.54,"high",2010-09-03,8.47,"New York",41.176837,-73.84741
"Palos Heights","IL",120,7.075,"high",2010-09-03,16.96,"Illinois",41.663548,-87.79148
"Paramus","NJ",320,28.3,"medium",2010-09-03,11.31,"New Jersey",40.9475805,-74.0768505
"Pepperell","MA",70,3.54,"high",2010-09-03,19.77,"Massachusetts",42.665686,-71.5929
"Petaluma","CA",250,28.3,"high",2010-09-03,8.83,"California",38.365277,-122.8417125
"Philadelphia","PA",325,28.3,"high",2010-09-03,11.48,"Pennsylvania",40.001811,-75.12565
"Philadelphia","PA",115,7.075,"high",2010-09-03,16.25,"Pennsylvania",40.001811,-75.12565
"Philadelphia","PA",50,3.54,"high",2010-09-03,14.12,"Pennsylvania",40.001811,-75.12565
"Philadelphia","PA",25,3.54,"medium",2010-09-03,7.06,"Pennsylvania",40.001811,-75.12565
"Phoenix","AZ",100,7.075,"high",2010-09-03,14.13,"Arizona",33.3841145,-112.18717
"Phoenix","AZ",50,3.54,"high",2010-09-03,14.12,"Arizona",33.3841145,-112.18717
"Phoenix","AZ",50,28.3,"low",2010-09-03,1.77,"Arizona",33.3841145,-112.18717
"Pittsburgh","PA",25,3.54,"medium",2010-09-03,7.06,"Pennsylvania",40.434436,-80.024817
"Pittsburgh","PA",385,28.3,"high",2010-09-03,13.6,"Pennsylvania",40.434436,-80.024817
"Placerville","CA",50,3.54,"high",2010-09-03,14.12,"California",38.724682,-120.79533
"Plano","TX",60,3.54,"high",2010-09-03,16.95,"Texas",33.0448605,-96.73772
"Plano","TX",40,7.075,"low",2010-09-03,5.65,"Texas",33.0448605,-96.73772
"Pompano Beach","FL",50,3.54,"high",2010-09-03,14.12,"Florida",26.236792,-80.21776
"Portsmouth","NH",60,3.54,"high",2010-09-03,16.95,"New Hampshire",43.005895,-71.013202
"Princeton","NJ",120,7.075,"high",2010-09-03,16.96,"New Jersey",40.349206,-74.65943
"Raleigh","NC",100,28.3,"medium",2010-09-03,3.53,"North Carolina",35.797692,-78.625265
