month,year,city,state,countKiaHyundaiThefts,countOtherThefts,percentKiaHyundai
Aug,2020,Dayton,OH,4,70,0.054
Sep,2020,Dayton,OH,4,72,0.053
Oct,2020,Dayton,OH,7,71,0.090
Nov,2020,Dayton,OH,5,62,0.075
Dec,2020,Dayton,OH,5,87,0.054
Jan,2021,Dayton,OH,6,76,0.073
Feb,2021,Dayton,OH,2,83,0.024
Mar,2021,Dayton,OH,1,61,0.016
Apr,2021,Dayton,OH,2,64,0.030
May,2021,Dayton,OH,4,58,0.065
Jun,2021,Dayton,OH,2,61,0.032
Jul,2021,Dayton,OH,4,64,0.059
Aug,2021,Dayton,OH,3,68,0.042
Sep,2021,Dayton,OH,6,70,0.079
Oct,2021,Dayton,OH,1,61,0.016
Nov,2021,Dayton,OH,5,80,0.059
Dec,2021,Dayton,OH,3,71,0.041
Jan,2022,Dayton,OH,1,85,0.012
Feb,2022,Dayton,OH,5,68,0.068
Mar,2022,Dayton,OH,5,69,0.068
Apr,2022,Dayton,OH,3,68,0.042
May,2022,Dayton,OH,5,64,0.072
Jun,2022,Dayton,OH,9,63,0.125
Jul,2022,Dayton,OH,42,83,0.336
Aug,2022,Dayton,OH,111,90,0.552
Sep,2022,Dayton,OH,78,78,0.500
Oct,2022,Dayton,OH,134,96,0.583
Nov,2022,Dayton,OH,100,63,0.613
Dec,2022,Dayton,OH,173,73,0.703
Jan,2019,Louisville,KY,24,250,0.088
Feb,2019,Louisville,KY,18,217,0.077
Mar,2019,Louisville,KY,19,236,0.075
Apr,2019,Louisville,KY,16,224,0.067
May,2019,Louisville,KY,14,255,0.052
Jun,2019,Louisville,KY,28,318,0.081
Jul,2019,Louisville,KY,11,268,0.039
Aug,2019,Louisville,KY,11,274,0.039
Sep,2019,Louisville,KY,20,228,0.081
Oct,2019,Louisville,KY,16,230,0.065
Nov,2019,Louisville,KY,31,240,0.114
Dec,2019,Louisville,KY,21,220,0.087
Jan,2020,Louisville,KY,18,219,0.076
Feb,2020,Louisville,KY,12,211,0.054
Mar,2020,Louisville,KY,12,227,0.050
Apr,2020,Louisville,KY,15,255,0.056
May,2020,Louisville,KY,15,235,0.060
Jun,2020,Louisville,KY,26,311,0.077
Jul,2020,Louisville,KY,25,387,0.061
Aug,2020,Louisville,KY,21,336,0.059
Sep,2020,Louisville,KY,19,283,0.063
Oct,2020,Louisville,KY,22,326,0.063
Nov,2020,Louisville,KY,16,309,0.049
Dec,2020,Louisville,KY,38,356,0.096
Jan,2021,Louisville,KY,36,308,0.105
Feb,2021,Louisville,KY,17,260,0.061
Mar,2021,Louisville,KY,21,256,0.076
Apr,2021,Louisville,KY,30,212,0.124
May,2021,Louisville,KY,21,290,0.068
Jun,2021,Louisville,KY,13,273,0.045
Jul,2021,Louisville,KY,25,273,0.084
Aug,2021,Louisville,KY,18,282,0.060
Sep,2021,Louisville,KY,18,240,0.070
Oct,2021,Louisville,KY,17,252,0.063
Nov,2021,Louisville,KY,32,274,0.105
Dec,2021,Louisville,KY,17,240,0.066
Jan,2022,Louisville,KY,18,286,0.059
Feb,2022,Louisville,KY,23,216,0.096
Mar,2022,Louisville,KY,21,270,0.072
Apr,2022,Louisville,KY,12,238,0.048
May,2022,Louisville,KY,21,273,0.071
Jun,2022,Louisville,KY,38,259,0.128
Jul,2022,Louisville,KY,70,275,0.203
Aug,2022,Louisville,KY,61,246,0.199
Sep,2022,Louisville,KY,65,252,0.205
Oct,2022,Louisville,KY,143,259,0.356
Nov,2022,Louisville,KY,119,228,0.343
Dec,2022,Louisville,KY,160,252,0.388
Jan,2019,Omaha,NE,18,390,0.044
Feb,2019,Omaha,NE,8,320,0.024
Mar,2019,Omaha,NE,16,260,0.058
Apr,2019,Omaha,NE,10,293,0.033
May,2019,Omaha,NE,9,266,0.033
Jun,2019,Omaha,NE,7,268,0.025
Jul,2019,Omaha,NE,19,350,0.051
Aug,2019,Omaha,NE,10,280,0.034
Sep,2019,Omaha,NE,17,272,0.059
Oct,2019,Omaha,NE,6,294,0.020
Nov,2019,Omaha,NE,13,296,0.042
Dec,2019,Omaha,NE,9,280,0.031
Jan,2020,Omaha,NE,14,272,0.049
Feb,2020,Omaha,NE,9,212,0.041
Mar,2020,Omaha,NE,16,234,0.064
Apr,2020,Omaha,NE,8,240,0.032
May,2020,Omaha,NE,7,198,0.034
Jun,2020,Omaha,NE,7,270,0.025
Jul,2020,Omaha,NE,17,278,0.058
Aug,2020,Omaha,NE,12,334,0.035
Sep,2020,Omaha,NE,16,342,0.045
Oct,2020,Omaha,NE,19,433,0.042
Nov,2020,Omaha,NE,7,312,0.022
Dec,2020,Omaha,NE,12,299,0.039
Jan,2021,Omaha,NE,17,257,0.062
Feb,2021,Omaha,NE,17,261,0.061
Mar,2021,Omaha,NE,9,266,0.033
Apr,2021,Omaha,NE,5,228,0.021
May,2021,Omaha,NE,13,260,0.048
Jun,2021,Omaha,NE,7,287,0.024
Jul,2021,Omaha,NE,14,284,0.047
Aug,2021,Omaha,NE,16,301,0.050
Sep,2021,Omaha,NE,11,310,0.034
Oct,2021,Omaha,NE,19,350,0.051
Nov,2021,Omaha,NE,5,239,0.020
Dec,2021,Omaha,NE,13,298,0.042
Jan,2022,Omaha,NE,9,278,0.031
Feb,2022,Omaha,NE,21,262,0.074
Mar,2022,Omaha,NE,10,278,0.035
Apr,2022,Omaha,NE,14,256,0.052
May,2022,Omaha,NE,13,220,0.056
Jun,2022,Omaha,NE,24,223,0.097
Jul,2022,Omaha,NE,71,309,0.187
Aug,2022,Omaha,NE,87,313,0.217
Sep,2022,Omaha,NE,19,281,0.063
Oct,2022,Omaha,NE,56,348,0.139
Nov,2022,Omaha,NE,115,328,0.260
Dec,2022,Omaha,NE,118,342,0.257
Jan,2019,Portland,OR,9,525,0.017
Feb,2019,Portland,OR,12,538,0.022
Mar,2019,Portland,OR,8,528,0.015
Apr,2019,Portland,OR,13,495,0.026
May,2019,Portland,OR,13,526,0.024
Jun,2019,Portland,OR,9,515,0.017
Jul,2019,Portland,OR,12,510,0.023
Aug,2019,Portland,OR,8,474,0.017
Sep,2019,Portland,OR,16,522,0.030
Oct,2019,Portland,OR,11,528,0.020
Nov,2019,Portland,OR,10,508,0.019
Dec,2019,Portland,OR,13,579,0.022
Jan,2020,Portland,OR,12,547,0.021
Feb,2020,Portland,OR,10,488,0.020
Mar,2020,Portland,OR,4,461,0.009
Apr,2020,Portland,OR,7,481,0.014
May,2020,Portland,OR,7,380,0.018
Jun,2020,Portland,OR,11,412,0.026
Jul,2020,Portland,OR,11,517,0.021
Aug,2020,Portland,OR,8,621,0.013
Sep,2020,Portland,OR,11,646,0.017
Oct,2020,Portland,OR,13,603,0.021
Nov,2020,Portland,OR,17,617,0.027
Dec,2020,Portland,OR,14,556,0.025
Jan,2021,Portland,OR,27,528,0.049
Feb,2021,Portland,OR,8,478,0.016
Mar,2021,Portland,OR,21,595,0.034
Apr,2021,Portland,OR,11,497,0.022
May,2021,Portland,OR,5,585,0.008
Jun,2021,Portland,OR,17,634,0.026
Jul,2021,Portland,OR,18,723,0.024
Aug,2021,Portland,OR,20,782,0.025
Sep,2021,Portland,OR,14,884,0.016
Oct,2021,Portland,OR,27,1008,0.026
Nov,2021,Portland,OR,27,1114,0.024
Dec,2021,Portland,OR,19,1019,0.018
Jan,2022,Portland,OR,39,988,0.038
Feb,2022,Portland,OR,29,774,0.036
Mar,2022,Portland,OR,32,1008,0.031
Apr,2022,Portland,OR,32,860,0.036
May,2022,Portland,OR,31,819,0.036
Jun,2022,Portland,OR,43,787,0.052
Jul,2022,Portland,OR,84,781,0.097
Aug,2022,Portland,OR,183,756,0.195
Sep,2022,Portland,OR,124,734,0.145
Oct,2022,Portland,OR,172,760,0.185
Nov,2022,Portland,OR,245,719,0.254
Dec,2022,Portland,OR,301,592,0.337
Jan,2019,Rochester,NY,6,46,0.115
Feb,2019,Rochester,NY,4,36,0.100
Mar,2019,Rochester,NY,4,35,0.103
Apr,2019,Rochester,NY,6,22,0.214
May,2019,Rochester,NY,7,31,0.184
Jun,2019,Rochester,NY,8,49,0.140
Jul,2019,Rochester,NY,6,41,0.128
Aug,2019,Rochester,NY,6,53,0.102
Sep,2019,Rochester,NY,7,42,0.143
Oct,2019,Rochester,NY,2,35,0.054
Nov,2019,Rochester,NY,4,46,0.080
Dec,2019,Rochester,NY,6,50,0.107
Jan,2020,Rochester,NY,9,56,0.138
Feb,2020,Rochester,NY,5,43,0.104
Mar,2020,Rochester,NY,6,54,0.100
Apr,2020,Rochester,NY,10,43,0.189
May,2020,Rochester,NY,8,47,0.145
Jun,2020,Rochester,NY,11,45,0.196
Jul,2020,Rochester,NY,12,60,0.167
Aug,2020,Rochester,NY,11,59,0.157
Sep,2020,Rochester,NY,9,47,0.161
Oct,2020,Rochester,NY,9,60,0.130
Nov,2020,Rochester,NY,18,78,0.188
Dec,2020,Rochester,NY,9,92,0.089
Jan,2021,Rochester,NY,9,70,0.114
Feb,2021,Rochester,NY,12,76,0.136
Mar,2021,Rochester,NY,16,56,0.222
Apr,2021,Rochester,NY,11,63,0.149
May,2021,Rochester,NY,11,71,0.134
Jun,2021,Rochester,NY,13,55,0.191
Jul,2021,Rochester,NY,14,64,0.179
Aug,2021,Rochester,NY,12,60,0.167
Sep,2021,Rochester,NY,10,62,0.139
Oct,2021,Rochester,NY,12,72,0.143
Nov,2021,Rochester,NY,8,90,0.082
Dec,2021,Rochester,NY,18,80,0.184
Jan,2022,Rochester,NY,15,71,0.174
Feb,2022,Rochester,NY,8,77,0.094
Mar,2022,Rochester,NY,16,70,0.186
Apr,2022,Rochester,NY,11,67,0.141
May,2022,Rochester,NY,19,68,0.218
Jun,2022,Rochester,NY,18,74,0.196
Jul,2022,Rochester,NY,38,62,0.380
Aug,2022,Rochester,NY,34,59,0.366
Sep,2022,Rochester,NY,20,60,0.250
Oct,2022,Rochester,NY,24,81,0.229
Nov,2022,Rochester,NY,41,62,0.398
Dec,2022,Rochester,NY,47,73,0.392
Jan,2020,Saint Paul,MN,10,216,0.044
Feb,2020,Saint Paul,MN,18,205,0.081
Mar,2020,Saint Paul,MN,11,170,0.061
Apr,2020,Saint Paul,MN,11,215,0.049
May,2020,Saint Paul,MN,10,210,0.045
Jun,2020,Saint Paul,MN,7,238,0.029
Jul,2020,Saint Paul,MN,8,220,0.035
Aug,2020,Saint Paul,MN,4,253,0.016
Sep,2020,Saint Paul,MN,5,240,0.020
Oct,2020,Saint Paul,MN,13,261,0.047
Nov,2020,Saint Paul,MN,10,234,0.041
Dec,2020,Saint Paul,MN,10,271,0.036
Jan,2021,Saint Paul,MN,12,258,0.044
Feb,2021,Saint Paul,MN,20,260,0.071
Mar,2021,Saint Paul,MN,13,167,0.072
Apr,2021,Saint Paul,MN,1,132,0.008
May,2021,Saint Paul,MN,2,174,0.011
Jun,2021,Saint Paul,MN,11,183,0.057
Jul,2021,Saint Paul,MN,8,241,0.032
Aug,2021,Saint Paul,MN,12,191,0.059
Sep,2021,Saint Paul,MN,4,200,0.020
Oct,2021,Saint Paul,MN,6,219,0.027
Nov,2021,Saint Paul,MN,22,221,0.091
Dec,2021,Saint Paul,MN,23,282,0.075
Jan,2022,Saint Paul,MN,29,283,0.093
Feb,2022,Saint Paul,MN,48,211,0.185
Mar,2022,Saint Paul,MN,45,243,0.156
Apr,2022,Saint Paul,MN,54,194,0.218
May,2022,Saint Paul,MN,76,186,0.290
Jun,2022,Saint Paul,MN,134,161,0.454
Jul,2022,Saint Paul,MN,141,171,0.452
Aug,2022,Saint Paul,MN,103,199,0.341
Sep,2022,Saint Paul,MN,48,167,0.223
Oct,2022,Saint Paul,MN,118,133,0.470
Nov,2022,Saint Paul,MN,97,108,0.473
Dec,2022,Saint Paul,MN,66,129,0.338
Jan,2019,Seattle,WA,0,292,0.000
Feb,2019,Seattle,WA,0,240,0.000
Mar,2019,Seattle,WA,0,271,0.000
Apr,2019,Seattle,WA,1,95,0.010
May,2019,Seattle,WA,7,343,0.020
Jun,2019,Seattle,WA,8,306,0.025
Jul,2019,Seattle,WA,2,360,0.006
Aug,2019,Seattle,WA,6,379,0.016
Sep,2019,Seattle,WA,6,349,0.017
Oct,2019,Seattle,WA,12,373,0.031
Nov,2019,Seattle,WA,8,374,0.021
Dec,2019,Seattle,WA,12,311,0.037
Jan,2020,Seattle,WA,6,357,0.017
Feb,2020,Seattle,WA,9,265,0.033
Mar,2020,Seattle,WA,5,285,0.017
Apr,2020,Seattle,WA,7,349,0.020
May,2020,Seattle,WA,8,270,0.029
Jun,2020,Seattle,WA,5,357,0.014
Jul,2020,Seattle,WA,10,435,0.022
Aug,2020,Seattle,WA,14,444,0.031
Sep,2020,Seattle,WA,11,485,0.022
Oct,2020,Seattle,WA,14,513,0.027
Nov,2020,Seattle,WA,14,430,0.032
Dec,2020,Seattle,WA,17,443,0.037
Jan,2021,Seattle,WA,12,416,0.028
Feb,2021,Seattle,WA,15,352,0.041
Mar,2021,Seattle,WA,9,365,0.024
Apr,2021,Seattle,WA,12,339,0.034
May,2021,Seattle,WA,17,335,0.048
Jun,2021,Seattle,WA,16,392,0.039
Jul,2021,Seattle,WA,14,380,0.036
Aug,2021,Seattle,WA,19,453,0.040
Sep,2021,Seattle,WA,20,534,0.036
Oct,2021,Seattle,WA,14,567,0.024
Nov,2021,Seattle,WA,19,486,0.038
Dec,2021,Seattle,WA,16,501,0.031
Jan,2022,Seattle,WA,14,525,0.026
Feb,2022,Seattle,WA,17,513,0.032
Mar,2022,Seattle,WA,14,540,0.025
Apr,2022,Seattle,WA,10,462,0.021
May,2022,Seattle,WA,15,546,0.027
Jun,2022,Seattle,WA,15,519,0.028
Jul,2022,Seattle,WA,51,498,0.093
Aug,2022,Seattle,WA,43,554,0.072
Sep,2022,Seattle,WA,85,486,0.149
Oct,2022,Seattle,WA,174,510,0.254
Nov,2022,Seattle,WA,184,459,0.286
Dec,2022,Seattle,WA,196,434,0.311
Jan,2022,Washington DC,NA,25,288,0.080
Feb,2022,Washington DC,NA,21,210,0.091
Mar,2022,Washington DC,NA,34,221,0.133
Apr,2022,Washington DC,NA,21,245,0.079
May,2022,Washington DC,NA,17,239,0.066
Jun,2022,Washington DC,NA,26,291,0.082
Jul,2022,Washington DC,NA,31,281,0.099
Aug,2022,Washington DC,NA,37,280,0.117
Sep,2022,Washington DC,NA,32,295,0.098
Oct,2022,Washington DC,NA,62,274,0.185
Nov,2022,Washington DC,NA,91,275,0.249
Dec,2022,Washington DC,NA,150,293,0.339
